featureName,id,class,county,state,latitude,longitude,elev,map,bgnDate,entryDate
Springfield,591337,Populated Place,Montgomery,Maryland,385802N,0770653W,325,Washington West,,12-SEP-1979
Springfield,598113,Populated Place,Prince George's,Maryland,385934N,0764758W,151,Lanham,,12-SEP-1979
Springfield,592939,Populated Place,Talbot,Maryland,384410N,0760454W,20,Trappe,,01-MAY-1994
Springfield Academy (historical),1696348,School,Carroll,Maryland,392227N,0765824W,614,Sykesville,,08-MAY-1996
Springfield Cemetery,1696349,Cemetery,Carroll,Maryland,392225N,0765826W,604,Sykesville,,08-MAY-1996
Springfield Farm,2705141,Locale,Baltimore,Maryland,393452N,0764411W,522,Hereford,,12-DEC-2011
Springfield Horse Farm,2651734,Locale,Baltimore,Maryland,392516N,0762733W,279,White Marsh,,19-NOV-2010
Springfield Hospital Center Post Office,1696350,Post Office,Carroll,Maryland,392257N,0765721W,472,Finksburg,,08-MAY-1996
Springfield Middle School,1713986,School,Washington,Maryland,393537N,0774842W,453,Williamsport,,04-DEC-1996
Springfield Presbyterian Church,1696351,Church,Carroll,Maryland,392227N,0765824W,614,Sykesville,,08-MAY-1996
Springfield Roller Mills (historical),1696197,Locale,Carroll,Maryland,392258N,0765803W,459,Finksburg,,08-MAY-1996
Springfield Run,2355693,Stream,Washington,Maryland,393611N,0774920W,331,Williamsport,03-OCT-2007,04-OCT-2007
Springfield State Hospital Cemetery,1696198,Cemetery,Carroll,Maryland,392328N,0765714W,515,Finksburg,,08-MAY-1996
Springfield State Hospital Center,595655,Hospital,Carroll,Maryland,392310N,0765741W,531,Finksburg,,12-SEP-1979
South Springfield,575907,Populated Place,Penobscot,Maine,452158N,0680545W,676,Bottle Lake,,30-SEP-1980
South Springfield Post Office (historical),1913906,Post Office,Penobscot,Maine,Unknown,Unknown,,Unknown,,08-MAY-2001
Springfield,576121,Populated Place,Penobscot,Maine,452346N,0680808W,554,Springfield,,30-SEP-1980
Springfield Community Chapel,1913912,Church,Penobscot,Maine,452401N,0680804W,554,Springfield,,08-MAY-2001
Springfield Congregational Church,1913913,Church,Penobscot,Maine,452345N,0680815W,531,Springfield,,08-MAY-2001
Springfield Fairground,1913914,Locale,Penobscot,Maine,452414N,0680755W,541,Springfield,,08-MAY-2001
Springfield Post Office,1913915,Post Office,Penobscot,Maine,452344N,0680801W,554,Springfield,,08-MAY-2001
Springfield Volunteer Fire Station,2553156,Building,Penobscot,Maine,452337N,0680759W,558,Springfield,,06-MAY-2010
Town of Springfield,582741,Civil,Penobscot,Maine,452334N,0680954W,394,Springfield,,01-SEP-1995
Bridge Lake Cemetery,621963,Cemetery,Oakland,Michigan,424442N,0832839W,1043,Clarkston,,14-APR-1980
Charter Township of Springfield,1627110,Civil,Oakland,Michigan,424439N,0833027W,1014,Highland,,01-SEP-1995
City of Springfield,1627108,Civil,Calhoun,Michigan,421928N,0851413W,892,Battle Creek,,01-SEP-1995
Clark Cemetery,2494761,Cemetery,Kalkaska,Michigan,443318N,0851850W,1135,Fife Lake,,11-SEP-2008
Springfield,638622,Populated Place,Calhoun,Michigan,421935N,0851421W,883,Battle Creek,,14-APR-1980
Springfield,638623,Populated Place,Oakland,Michigan,424458N,0832825W,1027,Clarkston,,14-APR-1980
Springfield Assembly of God Church,2630075,Church,Calhoun,Michigan,421922N,0851333W,879,Battle Creek,,25-JUN-2010
Springfield Christian Academy,2340932,School,Oakland,Michigan,424433N,0832726W,1017,Clarkston,,23-AUG-2007
Springfield Church,638624,Church,Kalkaska,Michigan,443315N,0851845W,1132,Fife Lake,,14-APR-1980
Springfield Department of Public Safety Fire Station,2636185,Building,Calhoun,Michigan,421934N,0851426W,889,Battle Creek,,03-FEB-2011
Springfield Middle School,2630077,School,Calhoun,Michigan,421932N,0851450W,896,Battle Creek,,25-JUN-2010
Springfield Oaks County Park,2648743,Park,Oakland,Michigan,424452N,0833155W,1010,Highland,,22-AUG-2011
Springfield Place,638625,Populated Place,Calhoun,Michigan,421830N,0851309W,938,Battle Creek,,14-APR-1980
Springfield Plains Cemetery,638626,Cemetery,Oakland,Michigan,424600N,0832747W,1056,Ortonville,,14-APR-1980
Springfield Plains Elementary School,2340933,School,Oakland,Michigan,424523N,0832742W,1040,Ortonville,,23-AUG-2007
Springfield Police Department,2630078,Building,Calhoun,Michigan,421934N,0851426W,889,Battle Creek,,25-JUN-2010
Springfield Post Office (historical),2649082,Post Office,Oakland,Michigan,424458N,0832825W,1027,Clarkston,,31-AUG-2011
Springfield School,638627,School,Calhoun,Michigan,421917N,0851336W,883,Battle Creek,,14-APR-1980
Springfield Township Fire Department Station 1,2619935,Building,Oakland,Michigan,424508N,0833229W,965,Davisburg,,04-FEB-2011
Springfield Township Fire Department Station 2 Headquarters,2620210,Building,Oakland,Michigan,424626N,0832938W,1053,Ortonville,,04-FEB-2011
Township of Springfield,1627109,Civil,Kalkaska,Michigan,443318N,0851622W,1070,Fife Lake,,01-SEP-1995
City of Springfield,2395941,Civil,Brown,Minnesota,441414N,0945853W,1050,Springfield,,27-FEB-2008
Jackson,645559,Populated Place,Jackson,Minnesota,433715N,0945919W,1316,Jackson,,11-JAN-1980
KLPR-FM (Springfield),663338,Tower,Brown,Minnesota,441413N,0950621W,1086,Sanborn NE,,01-SEP-1994
Mayo Clinic Health System Springfield,2063737,Hospital,Brown,Minnesota,441448N,0945817W,1060,Springfield,,25-MAR-2005
Springfield,2063730,Locale,Brown,Minnesota,441417N,0945828W,1020,Springfield,,25-MAR-2005
Springfield,652489,Populated Place,Brown,Minnesota,441420N,0945833W,1024,Springfield,,11-JAN-1980
Springfield Cemetery,652491,Cemetery,Brown,Minnesota,441351N,0945728W,1063,Springfield,,11-JAN-1980
Springfield Cemetery,652490,Cemetery,Cottonwood,Minnesota,435141N,0951539W,1440,Heron Lake,,11-JAN-1980
Springfield Country Club,659949,Locale,Brown,Minnesota,441348N,0945832W,1004,Springfield,,11-JAN-1980
Springfield High School,2063736,School,Brown,Minnesota,441418N,0945856W,1053,Springfield,,25-MAR-2005
